action,id,old_charter_id,new_charter_id,amount,payment_date,payment_method,source
relink,21609,16700,017805,2052.40,2025-07-24,bank_transfer,charter_reconciliation_report
relink,22484,17250,018446,320.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,22599,17404,018500,117.94,2025-07-24,bank_transfer,charter_reconciliation_report
relink,22945,17661,018787,300.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23002,17644,018770,330.25,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23024,17692,018818,1230.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23099,17733,018859,500.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23115,17226,018349,500.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23121,17691,018817,480.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23130,17756,018882,360.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23134,17757,018883,861.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23135,17757,018883,500.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23136,17749,018875,583.13,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23146,17724,018850,430.50,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23148,17727,018853,57.45,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23154,17748,018874,37.80,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23156,17749,018875,504.37,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23158,17367,018545,95.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23159,17365,018543,152.25,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23161,17367,018545,307.50,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23164,17367,018545,500.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23167,17367,018545,95.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23168,17367,018545,291.25,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23170,17367,018545,300.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23171,17367,018545,1141.75,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23179,17766,018892,630.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23183,17726,018852,462.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23188,17730,018856,330.25,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23189,17730,018856,232.31,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23191,17732,018858,75.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink,23196,17784,018910,300.00,2025-07-24,bank_transfer,charter_reconciliation_report
