gl_date,gl_chq,gl_vendor,gl_amount,gl_account,verification,bank_txn_id,bank_txn_date,bank_debit,bank_desc,bank_check,receipt_id,receipt_date,receipt_vendor,receipt_amount,receipt_source,notes
2012-05-23,262,CFIB,460.00,1000 CIBC Bank 1615,DIRECT_MATCH,82081,2012-06-11,460.00,CHQ 262 CFIB,262,217721,2012-06-11,CHEQUE PAYMENT REVIEW,460.00,auto_2012_cheque_review_backfill,status=reconciled
2012-12-19,dd,Parr's Automotive,512.27,1000 CIBC Bank 1615,MERGED_MATCH,82433,2012-12-19,1000.00,PARRS AUTOMOTIVE,,143130,2012-12-19,PARRS AUTOMOTIVE,1000.00,,paired_with=487.73 same vendor/date/chq; status=reconciled
2012-12-19,dd,Parr's Automotive,487.73,1000 CIBC Bank 1615,MERGED_MATCH,82433,2012-12-19,1000.00,PARRS AUTOMOTIVE,,143130,2012-12-19,PARRS AUTOMOTIVE,1000.00,,paired_with=512.27 same vendor/date/chq; status=reconciled
2012-04-17,20,Niteline Limousine Service Ltd.,259.09,1010 Scotia Bank Main,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-08-13,22,With This Ring Bridal Gala,682.50,1010 Scotia Bank Main,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-09-10,50,Fibrenew,1163.75,1010 Scotia Bank Main,DIRECT_MATCH,69396,2012-10-01,1163.75,CHQ 50 FIBRENEW,50,139342,2012-10-01,CHQ 50 FIBRENEW,1163.75,,status=reconciled
2012-09-10,51,Fibrenew,170.43,1010 Scotia Bank Main,DIRECT_MATCH,69395,2012-10-01,170.43,CHQ 51 FIBRENEW (UTILITIES),51,139341,2012-10-01,CHQ 51 FIBRENEW,170.43,,status=reconciled
2012-01-01,16,Niteline Limousine Service Ltd.,411.09,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-01-03,cash,Erles Auto Repair,453.34,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,173547,2012-01-31,ERLES AUTO REPAIR,453.34,,"no bank match in window, but receipt candidate exists"
2012-01-10,18,Niteline Limousine Service Ltd.,400.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-01-24,cash,Parr's Automotive,500.00,1090 Bank Shareholder,DIRECT_MATCH,81617,2012-02-24,500.00,PARRS AUTOMOTIVE,,217871,2012-02-24,UNLINKED EXPENSE REVIEW,500.00,auto_2012_unlinked_debit_review_backfill,status=reconciled
2012-01-24,cash,Fibrenew,1050.00,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,215463,2012-01-24,FIBRENEW,1050.00,manual_2012_backfill,"no bank match in window, but receipt candidate exists"
2012-01-28,cash,Fibrenew,1268.48,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-02-22,Vi450,Korax Inc.,314.37,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-02-28,cash,Fibrenew,1050.00,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,215465,2012-02-28,FIBRENEW,1050.00,manual_2012_backfill,"no bank match in window, but receipt candidate exists"
2012-03-08,cash,Red Deer Advocate,108.57,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,217214,2012-03-08,RED DEER ADVOCATE,108.57,,"no bank match in window, but receipt candidate exists"
2012-03-10,19,Niteline Limousine Service Ltd.,350.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-03-19,dd,Rogers,450.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-04-17,20,Niteline Limousine Service Ltd.,574.53,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-04-17,20,Niteline Limousine Service Ltd.,1357.85,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-05-01,cash,Fibrenew,1050.00,1090 Bank Shareholder,DIRECT_MATCH,81849,2012-04-12,1050.00,CHQ 240 FIBRENEW,240,217694,2012-04-12,CHEQUE PAYMENT REVIEW,1050.00,auto_2012_cheque_review_backfill,status=reconciled
2012-05-09,dd,Rogers,346.23,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-05-23,23002,Vibe Car Auto,724.50,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-05-23,cash,Tiffany Coachbuilders,513.83,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-06-06,dd,Rogers,572.22,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-07-03,dd,Rogers,992.24,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-08-10,cash,Parr's Automotive,700.00,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,215488,2012-08-10,PARRS AUTOMOTIVE,700.00,manual_2012_backfill,"no bank match in window, but receipt candidate exists"
2012-08-28,dd,Rogers,712.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-10-18,cash,Fibrenew,105.00,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,215490,2012-10-15,FIBRENEW REPAIRS,105.00,,"no bank match in window, but receipt candidate exists"
2012-10-22,dd,Rogers,893.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-10-31,cash,Fibrenew,183.84,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,215469,2012-10-31,FIBRENEW,183.84,manual_2012_backfill,"no bank match in window, but receipt candidate exists"
2012-11-26,dd,Rogers,923.98,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-12-03,cash,Parr's Automotive,502.07,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,215484,2012-12-03,PARRS AUTOMOTIVE,502.07,manual_2012_backfill,"no bank match in window, but receipt candidate exists"
2012-12-03,101,Parr's Automotive,823.80,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-12-03,101,Parr's Automotive,320.88,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2012-12-10,cash,Parr's Automotive,593.62,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,215486,2012-12-10,PARRS AUTOMOTIVE,593.62,manual_2012_backfill,"no bank match in window, but receipt candidate exists"
