gl_date,gl_chq,gl_vendor,gl_amount,gl_account,verification,bank_txn_id,bank_txn_date,bank_debit,bank_desc,bank_check,receipt_id,receipt_date,receipt_vendor,receipt_amount,receipt_source,notes
2015-01-25,dd,Telus Communications,358.62,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-01-27,cash,Fibrenew,1700.00,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,216830,2015-01-27,FIBRENEW,1700.00,manual_2015_backfill,"no bank match in window, but receipt candidate exists"
2015-01-31,dd,Rogers,360.13,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-02-09,cash,Big 105,700.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-02-23,cash,Fibrenew,1706.25,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-02-23,Vi9920,Korax Inc.,314.37,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-03-03,cash,Big 105,70.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-04-24,cash,Big 105,1050.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-05-14,MC0151,Automotive Universe,1931.06,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-05-20,??,Alta Law,966.89,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-05-24,dd,Telus Communications,1190.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-05-24,dd,Telus Communications,79.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-05-24,dd,Telus Communications,535.92,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-05-24,dd,Telus Communications,153.92,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-05-24,dd,Telus Communications,2666.53,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-06-02,cash,Big 105,900.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-06-08,cash,Fibrenew,3657.50,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-06-11,cash,Call Gerry,386.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-06-30,cash,Fibrenew,71.34,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-07-06,cash,Tire Garage,400.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-07-06,cash,Bookkeeping By Jan,525.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-07-14,Vi3187,Tire Garage,443.70,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-08-11,cash,Fibrenew,3028.66,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-08-20,dd,Telus Communications,573.27,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-08-20,dd,Telus Communications,189.14,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-09-08,cash,Fibrenew,3000.00,1090 Bank Shareholder,RECEIPT_ONLY,,,,,,216832,2015-08-09,FIBRENEW,3000.00,manual_2015_backfill,"no bank match in window, but receipt candidate exists"
2015-09-10,dd,WCB,920.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-09-10,dd,WCB,457.89,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-09-24,CC,Action Pages Canada,1400.11,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-11-12,MC,Action Pages Canada,300.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-11-12,cash,Arctic Mechanical,370.84,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-11-12,MC1813,Action Pages Canada,300.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-11-17,cash,Excel Restoration Services Inc,220.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-11-23,dd,Rogers,239.03,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-12-07,cash,Fibrenew,2910.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-12-08,dd,Limousine Management Systems(LMS),1960.25,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-12-11,cash,Big 105,500.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-12-14,dd,Fibrenew,0.01,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-12-22,dd,Telus Communications,3758.30,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2015-12-29,cash,Erles Auto Repair,11.91,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
